--------------------------------------------------------------------------
The library attempted to open the following supporting CUDA libraries,
but each of them failed.  CUDA-aware support is disabled.
libcuda.so.1: cannot open shared object file: No such file or directory
libcuda.dylib: cannot open shared object file: No such file or directory
/usr/lib64/libcuda.so.1: cannot open shared object file: No such file or directory
/usr/lib64/libcuda.dylib: cannot open shared object file: No such file or directory
If you are not interested in CUDA-aware support, then run with
--mca mpi_cuda_support 0 to suppress this message.  If you are interested
in CUDA-aware support, then try setting LD_LIBRARY_PATH to the location
of libcuda.so.1 to get passed this issue.
--------------------------------------------------------------------------
x= -3302500.0 , y= -30009.15228807202 , lat= -60.2633226784428 , lon= -90.52062087864066
x= -3302000.0 , y= -30509.302325581397 , lat= -60.2675927253594 , lon= -90.52937750372715
x= -3301500.0 , y= -31009.45236309077 , lat= -60.27186218880731 , lon= -90.53813675638888
x= -3301000.0 , y= -31509.60240060015 , lat= -60.27613106843976 , lon= -90.54689863739912
x= -3300500.0 , y= -32009.752438109528 , lat= -60.280399363909844 , lon= -90.55566314753104
x= -3300000.0 , y= -32509.902475618903 , lat= -60.284667074870576 , lon= -90.56443028755785
x= -3299500.0 , y= -33010.052513128285 , lat= -60.288934200974786 , lon= -90.57320005825268
x= -3299000.0 , y= -33510.20255063766 , lat= -60.29320074187514 , lon= -90.58197246038866
x= -3298500.0 , y= -34010.352588147034 , lat= -60.29746669722421 , lon= -90.59074749473884
x= -3298000.0 , y= -34510.502625656416 , lat= -60.30173206667437 , lon= -90.59952516207632
x= -3297500.0 , y= -35010.65266316579 , lat= -60.30599684987792 , lon= -90.6083054631741
x= -3297000.0 , y= -35510.802700675165 , lat= -60.31026104648698 , lon= -90.6170883988052
x= -3296500.0 , y= -36010.95273818455 , lat= -60.314524656153495 , lon= -90.62587396974256
x= -3296000.0 , y= -36511.10277569392 , lat= -60.31878767852933 , lon= -90.63466217675914
x= -3295500.0 , y= -37011.252813203304 , lat= -60.32305011326617 , lon= -90.64345302062782
x= -3295000.0 , y= -37511.40285071268 , lat= -60.32731196001555 , lon= -90.65224650212149
x= -3294500.0 , y= -38011.55288822205 , lat= -60.33157321842889 , lon= -90.66104262201296
x= -3294000.0 , y= -38511.702925731435 , lat= -60.335833888157495 , lon= -90.66984138107506
x= -3293500.0 , y= -39011.85296324081 , lat= -60.34009396885237 , lon= -90.67864278008052
x= -3293000.0 , y= -39512.003000750185 , lat= -60.34435346016463 , lon= -90.6874468198021
x= -3292500.0 , y= -40012.15303825957 , lat= -60.348612361745026 , lon= -90.69625350101252
x= -3292000.0 , y= -40512.30307576894 , lat= -60.352870673244276 , lon= -90.7050628244844
x= -3291500.0 , y= -41012.453113278316 , lat= -60.357128394312944 , lon= -90.71387479099039
x= -3291000.0 , y= -41512.6031507877 , lat= -60.36138552460141 , lon= -90.72268940130309
x= -3290500.0 , y= -42012.75318829707 , lat= -60.365642063759935 , lon= -90.73150665619502
x= -3290000.0 , y= -42512.903225806454 , lat= -60.36989801143864 , lon= -90.7403265564387
x= -3289500.0 , y= -43013.05326331583 , lat= -60.374153367287576 , lon= -90.74914910280664
x= -3289000.0 , y= -43513.203300825204 , lat= -60.37840813095647 , lon= -90.75797429607125
x= -3288500.0 , y= -44013.353338334586 , lat= -60.382662302095085 , lon= -90.76680213700497
x= -3288000.0 , y= -44513.50337584396 , lat= -60.38691588035293 , lon= -90.77563262638012
x= -3287500.0 , y= -45013.653413353335 , lat= -60.391168865379434 , lon= -90.78446576496903
x= -3287000.0 , y= -45513.80345086272 , lat= -60.395421256823845 , lon= -90.79330155354398
x= -3286500.0 , y= -46013.95348837209 , lat= -60.39967305433529 , lon= -90.80213999287726
x= -3286000.0 , y= -46514.10352588147 , lat= -60.40392425756275 , lon= -90.81098108374098
x= -3285500.0 , y= -47014.25356339085 , lat= -60.40817486615505 , lon= -90.81982482690738
x= -3285000.0 , y= -47514.40360090022 , lat= -60.41242487976087 , lon= -90.82867122314855
x= -3284500.0 , y= -48014.553638409605 , lat= -60.41667429802879 , lon= -90.83752027323654
x= -3284000.0 , y= -48514.70367591898 , lat= -60.42092312060716 , lon= -90.84637197794338
x= -3283500.0 , y= -49014.853713428354 , lat= -60.42517134714426 , lon= -90.8552263380411
x= -3283000.0 , y= -49515.003750937736 , lat= -60.42941897728823 , lon= -90.86408335430161
x= -3282500.0 , y= -50015.15378844711 , lat= -60.433666010687034 , lon= -90.87294302749679
x= -3282000.0 , y= -50515.303825956486 , lat= -60.43791244698847 , lon= -90.88180535839854
x= -3281500.0 , y= -51015.45386346587 , lat= -60.442158285840264 , lon= -90.89067034777864
x= -3281000.0 , y= -51515.60390097524 , lat= -60.44640352688992 , lon= -90.89953799640885
x= -3280500.0 , y= -52015.753938484624 , lat= -60.45064816978488 , lon= -90.9084083050609
x= -3280000.0 , y= -52515.903975994 , lat= -60.454892214172354 , lon= -90.91728127450642
x= -3279500.0 , y= -53016.05401350337 , lat= -60.45913565969946 , lon= -90.92615690551708
x= -3279000.0 , y= -53516.204051012755 , lat= -60.46337850601321 , lon= -90.93503519886443
x= -3278500.0 , y= -54016.35408852213 , lat= -60.467620752760396 , lon= -90.94391615532
x= -3278000.0 , y= -54516.504126031505 , lat= -60.47186239958767 , lon= -90.95279977565525
x= -3277500.0 , y= -55016.65416354089 , lat= -60.47610344614161 , lon= -90.96168606064161
x= -3277000.0 , y= -55516.80420105026 , lat= -60.4803438920686 , lon= -90.97057501105046
x= -3276500.0 , y= -56016.954238559636 , lat= -60.48458373701488 , lon= -90.97946662765312
x= -3276000.0 , y= -56517.10427606902 , lat= -60.48882298062656 , lon= -90.98836091122088
x= -3275500.0 , y= -57017.25431357839 , lat= -60.49306162254961 , lon= -90.99725786252495
x= -3275000.0 , y= -57517.404351087775 , lat= -60.49729966242982 , lon= -91.00615748233649
x= -3274500.0 , y= -58017.55438859715 , lat= -60.50153709991289 , lon= -91.01505977142664
x= -3274000.0 , y= -58517.704426106524 , lat= -60.50577393464434 , lon= -91.02396473056646
x= -3273500.0 , y= -59017.854463615906 , lat= -60.51001016626955 , lon= -91.03287236052695
x= -3273000.0 , y= -59518.00450112528 , lat= -60.51424579443378 , lon= -91.0417826620791
x= -3272500.0 , y= -60018.154538634655 , lat= -60.51848081878215 , lon= -91.05069563599378
x= -3272000.0 , y= -60518.30457614404 , lat= -60.52271523895955 , lon= -91.05961128304185
x= -3271500.0 , y= -61018.45461365341 , lat= -60.52694905461084 , lon= -91.0685296039941
x= -3271000.0 , y= -61518.604651162794 , lat= -60.53118226538065 , lon= -91.07745059962127
x= -3270500.0 , y= -62018.75468867217 , lat= -60.53541487091353 , lon= -91.08637427069405
x= -3270000.0 , y= -62518.90472618154 , lat= -60.539646870853836 , lon= -91.09530061798306
x= -3269500.0 , y= -63019.054763690925 , lat= -60.54387826484584 , lon= -91.10422964225887
x= -3269000.0 , y= -63519.2048012003 , lat= -60.54810905253359 , lon= -91.11316134429198
x= -3268500.0 , y= -64019.354838709674 , lat= -60.55233923356107 , lon= -91.12209572485285
x= -3268000.0 , y= -64519.504876219056 , lat= -60.556568807572056 , lon= -91.13103278471186
x= -3267500.0 , y= -65019.65491372843 , lat= -60.56079777421021 , lon= -91.13997252463936
x= -3267000.0 , y= -65519.804951237806 , lat= -60.56502613311903 , lon= -91.14891494540561
x= -3266500.0 , y= -66019.95498874718 , lat= -60.569253883941904 , lon= -91.15786004778084
x= -3266000.0 , y= -66520.10502625657 , lat= -60.57348102632205 , lon= -91.16680783253518
x= -3265500.0 , y= -67020.25506376594 , lat= -60.57770755990256 , lon= -91.17575830043872
x= -3265000.0 , y= -67520.40510127532 , lat= -60.58193348432636 , lon= -91.18471145226152
x= -3264500.0 , y= -68020.5551387847 , lat= -60.586158799236266 , lon= -91.19366728877351
x= -3264000.0 , y= -68520.70517629407 , lat= -60.59038350427487 , lon= -91.20262581074462
x= -3263500.0 , y= -69020.85521380346 , lat= -60.59460759908471 , lon= -91.21158701894468
x= -3263000.0 , y= -69521.00525131283 , lat= -60.598831083308156 , lon= -91.22055091414346
