--------------------------------------------------------------------------
The library attempted to open the following supporting CUDA libraries,
but each of them failed.  CUDA-aware support is disabled.
libcuda.so.1: cannot open shared object file: No such file or directory
libcuda.dylib: cannot open shared object file: No such file or directory
/usr/lib64/libcuda.so.1: cannot open shared object file: No such file or directory
/usr/lib64/libcuda.dylib: cannot open shared object file: No such file or directory
If you are not interested in CUDA-aware support, then run with
--mca mpi_cuda_support 0 to suppress this message.  If you are interested
in CUDA-aware support, then try setting LD_LIBRARY_PATH to the location
of libcuda.so.1 to get passed this issue.
--------------------------------------------------------------------------
/homes/lchen2/project/OISSTv2.1_NOAA/ancillary/NSIDC_mask/code/nsidc0756/xy2ll.py:56: RuntimeWarning: overflow encountered in int_scalars
  rho = np.sqrt(x**2 + y**2)
/homes/lchen2/project/OISSTv2.1_NOAA/ancillary/NSIDC_mask/code/nsidc0756/xy2ll.py:56: RuntimeWarning: invalid value encountered in sqrt
  rho = np.sqrt(x**2 + y**2)
x= -3292500 , y= 3292500 , lat= -89.9001987313992 , lon= -45.0
x= -3292000 , y= 3292000 , lat= -89.57594035558351 , lon= -45.0
x= -3291500 , y= 3291500 , lat= nan , lon= -45.0
x= -3291000 , y= 3291000 , lat= -89.60501024911274 , lon= -45.0
x= -3290500 , y= 3290500 , lat= nan , lon= -45.0
x= -3290000 , y= 3290000 , lat= -89.63593135256971 , lon= -45.0
x= -3289500 , y= 3289500 , lat= nan , lon= -45.0
x= -3289000 , y= 3289000 , lat= -89.66922240923228 , lon= -45.0
x= -3288500 , y= 3288500 , lat= nan , lon= -45.0
x= -3288000 , y= 3288000 , lat= -89.70568654612164 , lon= -45.0
x= -3287500 , y= 3287500 , lat= nan , lon= -45.0
x= -3287000 , y= 3287000 , lat= -89.74669037515717 , lon= -45.0
x= -3286500 , y= 3286500 , lat= nan , lon= -45.0
x= -3286000 , y= 3286000 , lat= -89.79493930778828 , lon= -45.0
x= -3285500 , y= 3285500 , lat= nan , lon= -45.0
x= -3285000 , y= 3285000 , lat= -89.85761750219609 , lon= -45.0
x= -3284500 , y= 3284500 , lat= nan , lon= -45.0
x= -3284000 , y= 3284000 , lat= nan , lon= -45.0
x= -3283500 , y= 3283500 , lat= -89.58751867200984 , lon= -45.0
x= -3283000 , y= 3283000 , lat= nan , lon= -45.0
x= -3282500 , y= 3282500 , lat= -89.61372156249404 , lon= -45.0
x= -3282000 , y= 3282000 , lat= nan , lon= -45.0
x= -3281500 , y= 3281500 , lat= -89.64136371522197 , lon= -45.0
x= -3281000 , y= 3281000 , lat= nan , lon= -45.0
x= -3280500 , y= 3280500 , lat= -89.67080749034702 , lon= -45.0
x= -3280000 , y= 3280000 , lat= nan , lon= -45.0
x= -3279500 , y= 3279500 , lat= -89.70258748472148 , lon= -45.0
x= -3279000 , y= 3279000 , lat= nan , lon= -45.0
x= -3278500 , y= 3278500 , lat= -89.73755100642322 , lon= -45.0
x= -3278000 , y= 3278000 , lat= nan , lon= -45.0
x= -3277500 , y= 3277500 , lat= -89.77719174093951 , lon= -45.0
x= -3277000 , y= 3277000 , lat= nan , lon= -45.0
x= -3276500 , y= 3276500 , lat= -89.82465364452734 , lon= -45.0
x= -3276000 , y= 3276000 , lat= nan , lon= -45.0
x= -3275500 , y= 3275500 , lat= -89.88960095871444 , lon= -45.0
x= -3275000 , y= 3275000 , lat= nan , lon= -45.0
x= -3274500 , y= 3274500 , lat= nan , lon= -45.0
x= -3274000 , y= 3274000 , lat= -89.59148540559978 , lon= -45.0
x= -3273500 , y= 3273500 , lat= nan , lon= -45.0
x= -3273000 , y= 3273000 , lat= -89.6137707296036 , lon= -45.0
x= -3272500 , y= 3272500 , lat= nan , lon= -45.0
x= -3272000 , y= 3272000 , lat= -89.6369563319201 , lon= -45.0
x= -3271500 , y= 3271500 , lat= nan , lon= -45.0
x= -3271000 , y= 3271000 , lat= -89.6612270045823 , lon= -45.0
x= -3270500 , y= 3270500 , lat= nan , lon= -45.0
x= -3270000 , y= 3270000 , lat= -89.68683492616212 , lon= -45.0
x= -3269500 , y= 3269500 , lat= nan , lon= -45.0
x= -3269000 , y= 3269000 , lat= -89.71413924765888 , lon= -45.0
x= -3268500 , y= 3268500 , lat= nan , lon= -45.0
x= -3268000 , y= 3268000 , lat= -89.7436815207296 , lon= -45.0
x= -3267500 , y= 3267500 , lat= nan , lon= -45.0
x= -3267000 , y= 3267000 , lat= -89.77634682135626 , lon= -45.0
x= -3266500 , y= 3266500 , lat= nan , lon= -45.0
x= -3266000 , y= 3266000 , lat= -89.81377133467815 , lon= -45.0
x= -3265500 , y= 3265500 , lat= nan , lon= -45.0
x= -3265000 , y= 3265000 , lat= -89.8597135831773 , lon= -45.0
x= -3264500 , y= 3264500 , lat= nan , lon= -45.0
x= -3264000 , y= 3264000 , lat= -89.9291605006005 , lon= -45.0
x= -3263500 , y= 3263500 , lat= -89.57607472775418 , lon= -45.0
x= -3263000 , y= 3263000 , lat= nan , lon= -45.0
x= -3262500 , y= 3262500 , lat= -89.59311053663487 , lon= -45.0
x= -3262000 , y= 3262000 , lat= nan , lon= -45.0
x= -3261500 , y= 3261500 , lat= -89.61045638898555 , lon= -45.0
x= -3261000 , y= 3261000 , lat= nan , lon= -45.0
x= -3260500 , y= 3260500 , lat= -89.62815566930422 , lon= -45.0
x= -3260000 , y= 3260000 , lat= nan , lon= -45.0
x= -3259500 , y= 3259500 , lat= -89.64626142294426 , lon= -45.0
x= -3259000 , y= 3259000 , lat= nan , lon= -45.0
x= -3258500 , y= 3258500 , lat= -89.6648395159574 , lon= -45.0
x= -3258000 , y= 3258000 , lat= nan , lon= -45.0
x= -3257500 , y= 3257500 , lat= -89.68397323683462 , lon= -45.0
x= -3257000 , y= 3257000 , lat= nan , lon= -45.0
x= -3256500 , y= 3256500 , lat= -89.70377022929712 , lon= -45.0
x= -3256000 , y= 3256000 , lat= nan , lon= -45.0
x= -3255500 , y= 3255500 , lat= -89.7243733733731 , lon= -45.0
x= -3255000 , y= 3255000 , lat= nan , lon= -45.0
x= -3254500 , y= 3254500 , lat= -89.74597874701372 , lon= -45.0
x= -3254000 , y= 3254000 , lat= nan , lon= -45.0
x= -3253500 , y= 3253500 , lat= -89.76886723042172 , lon= -45.0
x= -3253000 , y= 3253000 , lat= nan , lon= -45.0
x= -3252500 , y= 3252500 , lat= -89.79346496902933 , lon= -45.0
x= -3252000 , y= 3252000 , lat= nan , lon= -45.0
x= -3251500 , y= 3251500 , lat= -89.82047316754787 , lon= -45.0
x= -3251000 , y= 3251000 , lat= nan , lon= -45.0
x= -3250500 , y= 3250500 , lat= -89.8511986160608 , lon= -45.0
x= -3250000 , y= 3250000 , lat= nan , lon= -45.0
x= -3249500 , y= 3249500 , lat= -89.8886778328772 , lon= -45.0
x= -3249000 , y= 3249000 , lat= nan , lon= -45.0
x= -3248500 , y= 3248500 , lat= -89.94539044380446 , lon= -45.0
x= -3248000 , y= 3248000 , lat= -89.57537968611614 , lon= -45.0
x= -3247500 , y= 3247500 , lat= nan , lon= -45.0
x= -3247000 , y= 3247000 , lat= -89.58599473703333 , lon= -45.0
x= -3246500 , y= 3246500 , lat= nan , lon= -45.0
x= -3246000 , y= 3246000 , lat= -89.59646920002055 , lon= -45.0
x= -3245500 , y= 3245500 , lat= nan , lon= -45.0
x= -3245000 , y= 3245000 , lat= -89.60679183869772 , lon= -45.0
x= -3244500 , y= 3244500 , lat= nan , lon= -45.0
x= -3244000 , y= 3244000 , lat= -89.61695037746189 , lon= -45.0
x= -3243500 , y= 3243500 , lat= nan , lon= -45.0
x= -3243000 , y= 3243000 , lat= -89.62693140986056 , lon= -45.0
x= -3242500 , y= 3242500 , lat= nan , lon= -45.0
x= -3242000 , y= 3242000 , lat= -89.63672030372146 , lon= -45.0
x= -3241500 , y= 3241500 , lat= nan , lon= -45.0
x= -3241000 , y= 3241000 , lat= -89.64630110492227 , lon= -45.0
x= -3240500 , y= 3240500 , lat= nan , lon= -45.0
x= -3240000 , y= 3240000 , lat= -89.65565644251431 , lon= -45.0
x= -3239500 , y= 3239500 , lat= nan , lon= -45.0
x= -3239000 , y= 3239000 , lat= -89.66476743895767 , lon= -45.0
x= -3238500 , y= 3238500 , lat= nan , lon= -45.0
x= -3238000 , y= 3238000 , lat= -89.6736136304995 , lon= -45.0
x= -3237500 , y= 3237500 , lat= nan , lon= -45.0
x= -3237000 , y= 3237000 , lat= -89.68217290423934 , lon= -45.0
x= -3236500 , y= 3236500 , lat= nan , lon= -45.0
x= -3236000 , y= 3236000 , lat= -89.6904214601415 , lon= -45.0
x= -3235500 , y= 3235500 , lat= nan , lon= -45.0
x= -3235000 , y= 3235000 , lat= -89.69833380810566 , lon= -45.0
x= -3234500 , y= 3234500 , lat= nan , lon= -45.0
x= -3234000 , y= 3234000 , lat= -89.70588281204262 , lon= -45.0
x= -3233500 , y= 3233500 , lat= nan , lon= -45.0
x= -3233000 , y= 3233000 , lat= -89.71303979449041 , lon= -45.0
x= -3232500 , y= 3232500 , lat= nan , lon= -45.0
x= -3232000 , y= 3232000 , lat= -89.7197747162972 , lon= -45.0
x= -3231500 , y= 3231500 , lat= nan , lon= -45.0
x= -3231000 , y= 3231000 , lat= -89.7260564458306 , lon= -45.0
x= -3230500 , y= 3230500 , lat= nan , lon= -45.0
x= -3230000 , y= 3230000 , lat= -89.73185313049608 , lon= -45.0
x= -3229500 , y= 3229500 , lat= nan , lon= -45.0
x= -3229000 , y= 3229000 , lat= -89.7371326794771 , lon= -45.0
x= -3228500 , y= 3228500 , lat= nan , lon= -45.0
x= -3228000 , y= 3228000 , lat= -89.74186336007644 , lon= -45.0
x= -3227500 , y= 3227500 , lat= nan , lon= -45.0
x= -3227000 , y= 3227000 , lat= -89.7460145006398 , lon= -45.0
x= -3226500 , y= 3226500 , lat= nan , lon= -45.0
x= -3226000 , y= 3226000 , lat= -89.7495572810958 , lon= -45.0
x= -3225500 , y= 3225500 , lat= nan , lon= -45.0
x= -3225000 , y= 3225000 , lat= -89.75246557865901 , lon= -45.0
x= -3224500 , y= 3224500 , lat= nan , lon= -45.0
x= -3224000 , y= 3224000 , lat= -89.75471682300218 , lon= -45.0
x= -3223500 , y= 3223500 , lat= nan , lon= -45.0
x= -3223000 , y= 3223000 , lat= -89.75629280463929 , lon= -45.0
x= -3222500 , y= 3222500 , lat= nan , lon= -45.0
x= -3222000 , y= 3222000 , lat= -89.7571803750059 , lon= -45.0
x= -3221500 , y= 3221500 , lat= nan , lon= -45.0
x= -3221000 , y= 3221000 , lat= -89.75737197895549 , lon= -45.0
x= -3220500 , y= 3220500 , lat= nan , lon= -45.0
x= -3220000 , y= 3220000 , lat= -89.75686597107581 , lon= -45.0
x= -3219500 , y= 3219500 , lat= nan , lon= -45.0
x= -3219000 , y= 3219000 , lat= -89.75566668558564 , lon= -45.0
x= -3218500 , y= 3218500 , lat= nan , lon= -45.0
x= -3218000 , y= 3218000 , lat= -89.7537842529945 , lon= -45.0
x= -3217500 , y= 3217500 , lat= nan , lon= -45.0
x= -3217000 , y= 3217000 , lat= -89.7512341813034 , lon= -45.0
x= -3216500 , y= 3216500 , lat= nan , lon= -45.0
x= -3216000 , y= 3216000 , lat= -89.74803674108591 , lon= -45.0
x= -3215500 , y= 3215500 , lat= nan , lon= -45.0
x= -3215000 , y= 3215000 , lat= -89.74421620890409 , lon= -45.0
x= -3214500 , y= 3214500 , lat= nan , lon= -45.0
x= -3214000 , y= 3214000 , lat= -89.73980003037273 , lon= -45.0
x= -3213500 , y= 3213500 , lat= nan , lon= -45.0
x= -3213000 , y= 3213000 , lat= -89.7348179628315 , lon= -45.0
x= -3212500 , y= 3212500 , lat= nan , lon= -45.0
x= -3212000 , y= 3212000 , lat= -89.72930124962129 , lon= -45.0
x= -3211500 , y= 3211500 , lat= nan , lon= -45.0
x= -3211000 , y= 3211000 , lat= -89.72328186586253 , lon= -45.0
x= -3210500 , y= 3210500 , lat= nan , lon= -45.0
x= -3210000 , y= 3210000 , lat= -89.71679186201258 , lon= -45.0
x= -3209500 , y= 3209500 , lat= nan , lon= -45.0
x= -3209000 , y= 3209000 , lat= -89.7098628185116 , lon= -45.0
x= -3208500 , y= 3208500 , lat= nan , lon= -45.0
x= -3208000 , y= 3208000 , lat= -89.70252541394888 , lon= -45.0
x= -3207500 , y= 3207500 , lat= nan , lon= -45.0
x= -3207000 , y= 3207000 , lat= -89.69480910107269 , lon= -45.0
x= -3206500 , y= 3206500 , lat= nan , lon= -45.0
x= -3206000 , y= 3206000 , lat= -89.68674187967939 , lon= -45.0
x= -3205500 , y= 3205500 , lat= nan , lon= -45.0
x= -3205000 , y= 3205000 , lat= -89.67835015260624 , lon= -45.0
x= -3204500 , y= 3204500 , lat= nan , lon= -45.0
x= -3204000 , y= 3204000 , lat= -89.66965865017339 , lon= -45.0
x= -3203500 , y= 3203500 , lat= nan , lon= -45.0
x= -3203000 , y= 3203000 , lat= -89.66069040889461 , lon= -45.0
x= -3202500 , y= 3202500 , lat= nan , lon= -45.0
x= -3202000 , y= 3202000 , lat= -89.65146679158764 , lon= -45.0
x= -3201500 , y= 3201500 , lat= nan , lon= -45.0
x= -3201000 , y= 3201000 , lat= -89.6420075377508 , lon= -45.0
x= -3200500 , y= 3200500 , lat= nan , lon= -45.0
x= -3200000 , y= 3200000 , lat= -89.63233083493805 , lon= -45.0
x= -3199500 , y= 3199500 , lat= nan , lon= -45.0
x= -3199000 , y= 3199000 , lat= -89.62245340366903 , lon= -45.0
x= -3198500 , y= 3198500 , lat= nan , lon= -45.0
x= -3198000 , y= 3198000 , lat= -89.61239059004001 , lon= -45.0
x= -3197500 , y= 3197500 , lat= nan , lon= -45.0
x= -3197000 , y= 3197000 , lat= -89.60215646160819 , lon= -45.0
x= -3196500 , y= 3196500 , lat= nan , lon= -45.0
x= -3196000 , y= 3196000 , lat= -89.5917639032903 , lon= -45.0
x= -3195500 , y= 3195500 , lat= nan , lon= -45.0
x= -3195000 , y= 3195000 , lat= -89.58122471096077 , lon= -45.0
x= -3194500 , y= 3194500 , lat= nan , lon= -45.0
x= -3194000 , y= 3194000 , lat= nan , lon= -45.0
x= -3193500 , y= 3193500 , lat= -89.9152425016421 , lon= -45.0
x= -3193000 , y= 3193000 , lat= nan , lon= -45.0
x= -3192500 , y= 3192500 , lat= -89.87058965532145 , lon= -45.0
x= -3192000 , y= 3192000 , lat= nan , lon= -45.0
x= -3191500 , y= 3191500 , lat= -89.8367546436655 , lon= -45.0
x= -3191000 , y= 3191000 , lat= nan , lon= -45.0
x= -3190500 , y= 3190500 , lat= -89.80793266880562 , lon= -45.0
x= -3190000 , y= 3190000 , lat= nan , lon= -45.0
x= -3189500 , y= 3189500 , lat= -89.78212509016024 , lon= -45.0
x= -3189000 , y= 3189000 , lat= nan , lon= -45.0
x= -3188500 , y= 3188500 , lat= -89.75836412684845 , lon= -45.0
x= -3188000 , y= 3188000 , lat= nan , lon= -45.0
x= -3187500 , y= 3187500 , lat= -89.7360963903261 , lon= -45.0
x= -3187000 , y= 3187000 , lat= nan , lon= -45.0
x= -3186500 , y= 3186500 , lat= -89.7149716939698 , lon= -45.0
x= -3186000 , y= 3186000 , lat= nan , lon= -45.0
x= -3185500 , y= 3185500 , lat= -89.6947526344685 , lon= -45.0
x= -3185000 , y= 3185000 , lat= nan , lon= -45.0
x= -3184500 , y= 3184500 , lat= -89.67527000324363 , lon= -45.0
x= -3184000 , y= 3184000 , lat= nan , lon= -45.0
x= -3183500 , y= 3183500 , lat= -89.65639851002742 , lon= -45.0
x= -3183000 , y= 3183000 , lat= nan , lon= -45.0
x= -3182500 , y= 3182500 , lat= -89.63804255461613 , lon= -45.0
x= -3182000 , y= 3182000 , lat= nan , lon= -45.0
x= -3181500 , y= 3181500 , lat= -89.6201273969037 , lon= -45.0
x= -3181000 , y= 3181000 , lat= nan , lon= -45.0
x= -3180500 , y= 3180500 , lat= -89.60259342036369 , lon= -45.0
x= -3180000 , y= 3180000 , lat= nan , lon= -45.0
x= -3179500 , y= 3179500 , lat= -89.58539226275387 , lon= -45.0
x= -3179000 , y= 3179000 , lat= nan , lon= -45.0
x= -3178500 , y= 3178500 , lat= nan , lon= -45.0
x= -3178000 , y= 3178000 , lat= -89.89235217646363 , lon= -45.0
x= -3177500 , y= 3177500 , lat= nan , lon= -45.0
x= -3177000 , y= 3177000 , lat= -89.83751038549494 , lon= -45.0
x= -3176500 , y= 3176500 , lat= nan , lon= -45.0
x= -3176000 , y= 3176000 , lat= -89.79614591483376 , lon= -45.0
x= -3175500 , y= 3175500 , lat= nan , lon= -45.0
x= -3175000 , y= 3175000 , lat= -89.76115090106444 , lon= -45.0
x= -3174500 , y= 3174500 , lat= nan , lon= -45.0
x= -3174000 , y= 3174000 , lat= -89.73003688148593 , lon= -45.0
x= -3173500 , y= 3173500 , lat= nan , lon= -45.0
x= -3173000 , y= 3173000 , lat= -89.70158742258795 , lon= -45.0
x= -3172500 , y= 3172500 , lat= nan , lon= -45.0
x= -3172000 , y= 3172000 , lat= -89.67510181062275 , lon= -45.0
x= -3171500 , y= 3171500 , lat= nan , lon= -45.0
x= -3171000 , y= 3171000 , lat= -89.65013376122916 , lon= -45.0
x= -3170500 , y= 3170500 , lat= nan , lon= -45.0
x= -3170000 , y= 3170000 , lat= -89.62637890931795 , lon= -45.0
x= -3169500 , y= 3169500 , lat= nan , lon= -45.0
x= -3169000 , y= 3169000 , lat= -89.60361907857342 , lon= -45.0
x= -3168500 , y= 3168500 , lat= nan , lon= -45.0
x= -3168000 , y= 3168000 , lat= -89.58169182448613 , lon= -45.0
x= -3167500 , y= 3167500 , lat= -89.95371372184503 , lon= -45.0
x= -3167000 , y= 3167000 , lat= nan , lon= -45.0
x= -3166500 , y= 3166500 , lat= -89.85677009493926 , lon= -45.0
x= -3166000 , y= 3166000 , lat= nan , lon= -45.0
x= -3165500 , y= 3165500 , lat= -89.80194452104911 , lon= -45.0
x= -3165000 , y= 3165000 , lat= nan , lon= -45.0
x= -3164500 , y= 3164500 , lat= -89.75859594284945 , lon= -45.0
x= -3164000 , y= 3164000 , lat= nan , lon= -45.0
x= -3163500 , y= 3163500 , lat= -89.72131623295206 , lon= -45.0
x= -3163000 , y= 3163000 , lat= nan , lon= -45.0
